15	10	E	-9125446.491815351	200
transitionprobs	11	5	7.568154492816728E-7
transitionprobs	11	6	0.0
transitionprobs	11	7	9.987478770434129E-4
transitionprobs	11	8	0.0
transitionprobs	11	9	0.053968680581442045
transitionprobs	11	10	0.0
transitionprobs	11	11	0.6311575773095367
transitionprobs	11	12	0.020865532784785434
transitionprobs	11	13	0.011343475886538137
transitionprobs	11	14	0.008346424873120345
transitionprobs	11	15	0.004684640988477114
transitionprobs	12	1	0.0
transitionprobs	12	2	0.15529200216742073
transitionprobs	12	3	0.023747940141420433
transitionprobs	12	4	0.10326528145180944
transitionprobs	12	5	4.596554531869774E-6
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0
transitionprobs	12	8	0.0
transitionprobs	12	9	3.29286744032686E-5
transitionprobs	12	10	0.005317113890952916
transitionprobs	12	11	0.01976569624416367
transitionprobs	12	12	0.6388954874357349
transitionprobs	12	13	0.0371926514979944
transitionprobs	12	14	0.003355409284163752
transitionprobs	12	15	0.013130892657404709
transitionprobs	13	1	0.0011449692356667223
transitionprobs	13	2	0.010845522320756446
transitionprobs	13	3	0.06042285403394435
transitionprobs	13	4	0.022836075215442182
transitionprobs	13	5	0.0021831330686473555
transitionprobs	13	6	0.0
transitionprobs	13	7	0.003535910368732463
transitionprobs	13	8	0.006386464636887166
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	0.020849470163663713
transitionprobs	13	12	0.08116827978388519
transitionprobs	13	13	0.6704289297554551
transitionprobs	13	14	0.10265808558750532
transitionprobs	13	15	0.01754030582941396
transitionprobs	14	1	0.0
transitionprobs	14	2	4.803650397987546E-5
transitionprobs	14	3	0.0
transitionprobs	14	4	0.006579126906109391
transitionprobs	14	5	1.002368133647883E-5
transitionprobs	14	6	0.0
transitionprobs	14	7	1.5623699193295935E-7
transitionprobs	14	8	0.04080641904509848
transitionprobs	14	9	0.02382306300576707
transitionprobs	14	10	0.0018508681898660488
transitionprobs	14	11	0.02256321173756187
transitionprobs	14	12	0.009427716679958075
transitionprobs	14	13	0.1355796343388294
transitionprobs	14	14	0.7571352177387112
transitionprobs	14	15	0.002176525935790445
transitionprobs	15	1	0.0
transitionprobs	15	2	0.13006548668504478
transitionprobs	15	3	0.12999069847543285
transitionprobs	15	4	0.15399060844678278
transitionprobs	15	5	0.00728409912025251
transitionprobs	15	6	7.81487819205629E-4
transitionprobs	15	7	0.002636284676766447
transitionprobs	15	8	0.0
transitionprobs	15	9	0.004112060001922624
transitionprobs	15	10	0.003926280768808767
transitionprobs	15	11	0.01284424037946221
transitionprobs	15	12	0.03598568878637611
transitionprobs	15	13	0.023008692598488326
transitionprobs	15	14	0.001270673359158311
transitionprobs	15	15	0.4941036988822986
emissionprobs	1	0	Ctcf	0	0.9907401505786582
emissionprobs	1	0	Ctcf	1	0.009259849421341835
emissionprobs	1	1	H2afz	0	0.9823608845002583
emissionprobs	1	1	H2afz	1	0.017639115499741686
emissionprobs	1	2	H3k27ac	0	0.9991254174565847
emissionprobs	1	2	H3k27ac	1	8.745825434152634E-4
emissionprobs	1	3	H3k27me3	0	0.9802319044167711
emissionprobs	1	3	H3k27me3	1	0.019768095583228933
emissionprobs	1	4	H3k36me3	0	0.9688155388833879
emissionprobs	1	4	H3k36me3	1	0.031184461116612196
emissionprobs	1	5	H3k4me1	0	0.9994052176152076
emissionprobs	1	5	H3k4me1	1	5.947823847924056E-4
emissionprobs	1	6	H3k4me2	0	0.9995790901031939
emissionprobs	1	6	H3k4me2	1	4.209098968060873E-4
emissionprobs	1	7	H3k4me3	0	0.9899441606748345
emissionprobs	1	7	H3k4me3	1	0.010055839325165563
emissionprobs	1	8	H3k9me3	0	0.6012171477400281
emissionprobs	1	8	H3k9me3	1	0.39878285225997184
emissionprobs	1	9	H4k20me1	0	0.9909007618388687
emissionprobs	1	9	H4k20me1	1	0.009099238161131427
emissionprobs	2	0	Ctcf	0	0.9976581528547036
