State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.63946	0.59120	0.57913	0.58717	0.55902	0.53489	0.51478	0.49467	0.52283	0.50272	0.54696	0.52283	0.53087	0.54293	0.57511	0.58717	0.62337	0.64348	0.61935	0.62337	0.61935
2	0.43023	0.42298	0.41215	0.39978	0.38083	0.35681	0.33252	0.31213	0.29735	0.28878	0.28405	0.28543	0.29164	0.29796	0.30461	0.31318	0.32302	0.33258	0.34077	0.34851	0.35346
3	2.01647	2.01391	1.99595	1.97000	1.90956	1.81035	1.66467	1.49161	1.31143	1.22391	1.20680	1.21194	1.26753	1.33994	1.40837	1.48933	1.55063	1.59111	1.61278	1.62219	1.62447
4	1.57647	1.53627	1.46922	1.37278	1.24645	1.07417	0.88501	0.68369	0.54097	0.47172	0.45196	0.45939	0.49064	0.52222	0.57289	0.66477	0.80191	0.95291	1.08718	1.17281	1.23901
5	0.81183	0.74833	0.67830	0.60234	0.53469	0.48306	0.46229	0.44093	0.41659	0.41422	0.43202	0.44745	0.45636	0.46704	0.48899	0.52163	0.59641	0.71569	0.89194	1.08243	1.28420
6	1.98010	1.68463	1.58320	1.30537	1.19953	1.20394	1.08928	1.00107	0.98343	0.95256	0.97461	1.01430	1.08486	1.06722	1.09810	1.21276	1.59643	2.44756	3.12670	4.02635	4.44089
7	1.03497	0.95535	0.83398	0.70999	0.64082	0.57556	0.54163	0.51030	0.48812	0.48159	0.47376	0.45549	0.46462	0.49856	0.52597	0.61863	0.78177	1.16809	1.69275	2.19131	2.62591
8	8.08031	8.93975	9.56625	9.74296	8.66665	6.89156	4.88353	3.98393	3.25301	2.86747	2.60241	2.89156	3.71887	6.04818	13.10038	23.02808	32.06421	35.91962	35.10035	31.46180	27.72686
9	1.72519	1.87606	2.04333	2.27620	2.47626	2.53858	2.70257	2.65009	2.45003	1.84326	1.52512	1.41688	1.31521	1.28897	1.46280	1.74814	1.85966	1.88918	1.78750	1.70551	1.68583
10	1.35791	1.35011	1.32669	1.33710	1.28767	1.25125	1.18882	1.04054	0.79602	0.74919	0.64254	0.51767	0.58010	0.62173	0.60352	0.61132	0.65814	0.66595	0.74919	0.83244	0.84024
11	1.94167	2.07802	2.33304	2.51988	2.65371	2.59563	2.27749	1.96440	1.56041	1.39629	1.18924	0.93675	0.84080	0.99735	1.41396	2.04267	2.67643	2.88600	2.70925	2.49969	2.29264
12	2.38365	2.62752	3.00533	3.70256	4.60588	5.46111	5.68093	5.30999	4.39293	4.73296	5.10734	4.05633	3.29727	3.05341	2.74429	2.63782	2.46952	2.30466	1.93028	1.73794	1.52842
13	4.17875	5.08577	6.70081	8.82027	11.76344	16.04400	21.47221	26.41452	29.77418	34.42495	37.92344	34.15192	32.48598	30.77838	28.68206	24.46629	18.89462	13.10083	9.05165	6.52496	4.74332
14	5.14316	6.14340	7.47274	9.94430	14.20983	20.68234	29.20049	39.71267	50.62494	50.85080	48.79870	57.09745	57.36203	53.89024	45.49469	33.85967	22.66991	14.91968	10.29922	7.30496	5.60133
15	2.25393	2.25393	2.30347	2.03101	1.91956	1.97528	1.71522	1.56041	1.91336	2.35300	1.91336	1.15793	0.84213	0.95978	1.08981	1.28177	1.31892	1.44895	1.47372	1.51088	1.53564
