State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.76506	3.78708	3.62195	3.46232	3.44580	3.42929	3.39626	3.30819	3.09352	3.00545	2.93389	2.76325	2.63114	2.60912	2.55958	2.57059	2.71371	2.76875	2.76325	2.76875	2.83481
2	3.11202	3.02580	2.97484	2.94349	2.79063	2.75927	2.67697	2.58682	2.49275	2.33598	2.19488	2.32422	2.43396	2.47708	2.51627	2.60250	2.57898	2.49275	2.47708	2.64561	2.69264
3	0.97092	0.95298	0.90276	0.90755	0.94461	0.97929	0.96972	1.01038	1.03908	1.05582	1.03310	1.09049	1.07973	1.06299	1.11082	1.10962	1.08332	1.10245	1.09527	1.12278	1.15626
4	0.91743	0.92360	0.95445	1.00588	0.98119	0.97502	1.02028	1.02028	1.01205	1.05113	1.06347	1.05319	1.05113	1.06347	1.07993	1.14781	1.17661	1.19512	1.20952	1.21363	1.17249
5	3.12557	3.22443	3.20542	3.15979	3.18260	3.28527	3.32709	3.55524	3.58946	3.54003	3.51341	3.42976	3.22443	3.13697	2.94305	2.80997	2.74153	2.73392	2.71111	2.62365	2.53239
6	0.90285	0.88760	0.88869	0.90829	0.90502	0.86691	0.86146	0.86473	0.87453	0.87998	0.87998	0.88978	0.90067	0.91047	0.92027	0.95403	0.96819	0.97146	0.97146	0.96057	0.96928
7	4.03337	4.03775	4.05255	4.05091	4.05365	4.04324	4.02899	3.97308	3.94896	3.91115	3.83606	3.74398	3.65300	3.54502	3.43102	3.30825	3.18000	3.05339	2.96296	2.87471	2.79031
8	1.81392	1.81392	1.77173	1.70846	1.65924	1.75064	1.91235	2.01781	2.04593	2.07405	2.36231	2.37637	2.34825	2.32012	2.23576	2.30606	2.21466	2.32012	2.41152	2.36934	2.25685
9	0.62616	0.62742	0.62968	0.63113	0.63142	0.63137	0.63132	0.63335	0.63595	0.64005	0.64781	0.65374	0.66474	0.67487	0.68345	0.69107	0.70124	0.71007	0.71788	0.72444	0.73042
10	1.21034	1.20521	1.20713	1.20200	1.20713	1.20713	1.21066	1.20649	1.21002	1.21355	1.21483	1.21836	1.21579	1.21772	1.22895	1.23023	1.23953	1.24563	1.24563	1.24402	1.25365
