State (Emission order)	H3k36me3	H4k20me1	H3k4me1	H3k27ac	H3k4me2	H3k4me3	H2afz	Ctcf	H3k27me3	H3k9me3
1	0.031184461116612196	0.009099238161131427	5.947823847924056E-4	8.745825434152634E-4	4.209098968060873E-4	0.010055839325165563	0.017639115499741686	0.009259849421341835	0.019768095583228933	0.39878285225997184
2	4.3453780825591656E-5	3.612831694709473E-4	7.180225016596824E-5	1.7317764726652247E-4	5.608260462067021E-5	1.937793114651048E-4	0.0010222645850985078	0.0023418471452963372	0.006713476942769758	0.01266131111903558
3	7.108399982287613E-5	0.0014501058162337554	0.0017029955929213747	2.022430780596277E-4	6.948202788705129E-4	8.412504916043119E-4	0.004230399402167056	0.004305385984044685	0.11542137048800533	0.007668131455420295
4	0.01202401534854843	0.004639673879837212	0.006986922899032268	0.001461149502161514	3.797858188413757E-4	5.68101731582415E-4	0.008897822868627671	0.004229078305569434	0.006035530898246707	0.0011100261109470723
5	0.4048666225844731	0.030053290034424137	0.0028106832415062946	0.0032793620463152074	2.513165565990532E-4	8.417653953673348E-4	0.0011118697043690656	0.012494854067666	0.003823234497485524	0.002824914704306112
6	0.4636091781094	0.39283529106761833	0.36668363917191976	0.2684614233376663	0.07651432158301556	0.02162252225460233	0.00799536428630602	0.05081345101805205	0.0049892754920146	0.0020520751211964227
7	0.042697720801707695	0.24436385623780021	0.019351913635847828	0.0029285688513539776	0.004460604367924865	0.0016877706091934707	8.534700517611034E-4	0.010026708998389462	0.004480871397790147	0.0013779777745860614
8	0.2022773367062425	0.5289505673130038	0.5729734236940078	0.5341472802467268	0.9110136477858461	0.5500235224653222	0.04313206594254015	0.06434422562673443	0.005600442602465971	8.453895417446027E-4
9	0.015793246844498832	0.024530711757232544	0.8517988910797488	0.9750663065216438	0.8880558431674475	0.3396092601674635	0.42209759684101195	0.07614873278351904	0.00507982707608119	5.350657585816269E-4
10	0.03186415904062757	0.006597559700996616	0.45711862239021944	0.7817626411083228	0.09973634786082561	0.01644866861865847	0.09276845576127837	0.02301370318389725	0.00501744843265507	0.0030260797337496666
11	0.0038967595107116913	0.014719550476705706	0.6389340448461768	0.12021697028169057	0.2791861855634717	0.03943117051322419	0.23756413100456325	0.02819283794441913	0.011289179430082048	0.0018185858295796551
12	0.0025194501398208523	5.001001844438373E-4	0.03648820513272818	0.009028316067573015	0.038102894389894774	0.003677173251364668	0.39265765496050137	0.004119232682181615	0.020074727940783604	0.003442456130520743
13	0.0032258268337504743	0.011426232088789753	0.15420341116082628	0.024769235626250694	0.5815708984138407	0.6782327788268618	0.6794695462433672	0.1634083248609629	0.06519041396989635	0.00581347777020378
14	0.001156830750926856	0.04270030395503886	0.16918971194096355	0.8840851868063426	0.8014136864654534	0.9861901191770005	0.8429031704194416	0.19924834417159246	0.0046332473575040455	0.0011707672916753111
15	0.008175004453469447	0.016038735693540918	0.03836534779442206	0.0070242228229065165	0.04334215022831777	0.007150691507263578	0.10658865911714796	0.9614151965618603	0.029458648501351107	0.004011904918259138
